iter	Passed	Remaining
0	49	49715
1	50	25363
2	51	17265
3	52	13148
4	53	10730
5	54	9071
6	55	7886
7	56	7033
8	57	6371
9	58	5828
10	59	5391
11	60	5016
12	61	4693
13	62	4425
14	63	4195
15	64	3982
16	65	3796
17	66	3640
18	67	3492
19	68	3357
20	69	3237
21	70	3129
22	71	3037
23	72	2944
24	73	2856
25	74	2773
26	75	2709
27	76	2643
28	77	2582
29	78	2522
30	78	2467
31	79	2413
32	80	2363
33	81	2315
34	82	2270
35	83	2227
36	84	2187
37	85	2153
38	86	2120
39	86	2087
40	87	2056
41	88	2025
42	89	1997
43	90	1968
44	91	1945
45	92	1921
46	93	1898
47	94	1873
48	95	1848
49	96	1824
50	96	1804
51	97	1785
52	98	1767
53	99	1749
54	100	1730
55	101	1712
56	102	1693
57	103	1675
58	103	1657
59	104	1639
60	105	1620
61	105	1601
62	106	1584
63	107	1566
64	107	1549
65	108	1532
66	108	1515
67	109	1495
68	109	1479
69	110	1463
70	110	1448
71	111	1432
72	111	1417
73	112	1402
74	112	1387
75	112	1373
76	113	1359
77	113	1346
78	114	1332
79	114	1320
80	115	1308
81	115	1297
82	116	1285
83	116	1274
84	117	1261
85	117	1251
86	118	1238
87	118	1227
88	118	1216
89	119	1205
90	119	1194
91	120	1184
92	120	1174
93	120	1163
94	121	1153
95	121	1143
96	121	1134
97	122	1124
98	122	1115
99	122	1106
100	123	1096
101	123	1086
102	123	1077
103	124	1068
104	124	1059
105	124	1050
106	124	1042
107	125	1035
108	125	1027
109	126	1019
110	126	1011
111	126	1005
112	127	997
113	127	990
114	127	983
115	128	975
116	128	968
117	128	961
118	128	953
119	129	946
120	129	939
121	129	933
122	129	925
123	130	918
124	130	912
125	130	905
126	130	899
127	130	892
128	131	886
129	131	879
130	131	873
131	131	867
132	132	861
133	132	855
134	132	849
135	132	844
136	133	838
137	133	832
138	133	826
139	133	821
140	133	816
141	134	810
142	134	805
143	134	800
144	134	794
145	135	789
146	135	784
147	135	779
148	135	774
149	135	770
150	136	765
151	136	760
152	136	755
153	136	751
154	136	746
155	137	742
156	137	737
157	137	733
158	137	729
159	138	725
160	138	720
161	138	716
162	138	712
163	138	708
164	139	704
165	139	700
166	139	696
167	139	692
168	140	688
169	140	684
170	140	681
171	140	677
172	140	673
173	141	670
174	141	666
175	141	662
176	141	659
177	142	655
178	142	652
179	142	649
180	142	645
181	143	643
182	143	640
183	143	637
184	144	634
185	144	631
186	144	628
187	144	625
188	145	622
189	145	619
190	145	616
191	145	613
192	145	610
193	146	607
194	146	604
195	146	601
196	146	598
197	147	595
198	147	592
199	147	590
200	147	587
201	148	584
202	148	582
203	148	579
204	148	576
205	148	573
206	149	571
